Name,State,Zip,Street,City,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Student-to-faculty ratio,Phone
American College of Financial Services,Pennsylvania,19406,630 Allendale Rd, King of Prussia,www.theamericancollege.edu/,"4-year, Private not-for-profit",Less than one year certificatePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Suburb: Large,No,"5,723 (5,233 undergraduate)",60 to 1,(610) 526-1000

American Institute of Beauty,Florida,33771,3665 East Bay Drive Suite 164, Largo,www.aibschool.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,160 (all undergraduate),7 to 1,(727) 532-2125

Andrews University,,,,,www.andrews.edu/,"4-year, Private not-for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - other,Town: Fringe,Yes,"3,162 (1,579 undergraduate)",10 to 1,(800) 253-2874

American Islamic College,Illinois,60613,640 W Irving Park RD, Chicago,www.aicusa.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Large,Yes,16 (8 undergraduate),2 to 1,(773) 281-4700

Antioch College,Ohio,45387,1 Morgan Pl, Yellow Springs,antiochcollege.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Fringe,Yes,116 (all undergraduate),7 to 1,(937) 319-6082

American University,District of Columbia,20016-8001,4400 Massachusetts Ave NW, Washington,www.american.edu/,"4-year, Private not-for-profit",Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Large,Yes,"14,001 (7,953 undergraduate)",11 to 1,(202) 885-1000

American College of Healthcare and Technology,California,90255,6330 Pacific Blvd Ste 201, Huntington Park,www.ach.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,184 (all undergraduate),31 to 1,(323) 585-9000

Angeles Institute,,,,,www.angelesinstitute.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,98 (all undergraduate),10 to 1,(562) 531-4100

American Institute of Interior Design,,,,,www.aiid.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,35 (all undergraduate),15 to 1,(480) 946-9601

Antioch University Online,,,,,online.antioch.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,Rural: Fringe,No,257 (171 undergraduate),7 to 1,(937) 769-1352

American Massage & Bodywork Institute,,,,,www.ambimassageschool.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,99 (all undergraduate),10 to 1,(571) 620-7170

American University of Puerto Rico,Puerto Rico,00674-1082,Carretera Estatal #2 Km.48.1, Manati,aupr.edu/,"4-year, Private not-for-profit",Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,No,360 (349 undergraduate),15 to 1,(787) 621-2835 x3601

American College of Healthcare Sciences,,,,,www.achs.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Large,No,856 (602 undergraduate),19 to 1,(503) 244-0726 x103

Angelo State University,Texas,76909,2601 W. Avenue N, San Angelo,www.angelo.edu/,"4-year, Public",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,City: Midsize,Yes,"10,775 (9,107 undergraduate)",21 to 1,(325) 942-2555

American Institute of Medical Sciences & Education,New Jersey,08854,4500 New Brunswick Ave, Piscataway,www.aimseducation.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,476 (all undergraduate),"15 to 1View noteAbove Student-to-faculty ratio is based on currently enrolled students who are on Campus attending didactic part of the programs in the classrooms. Most programs require students to complete clinical internship at hospitals, doctor�s offices or other healthcare facilities, after the completion of the didactic part of the program. Students who are enrolled but attending internships at off campus facilities are excluded from the calculations of the Student-to-faculty ratio.",(908) 222-0002

Antioch University-Midwest,Ohio,45387,900 Dayton St, Yellow Springs,midwest.antioch.edu/,"4-year, Private not-for-profit",Bachelor's degreePostbaccalaureate certificateMaster's degree,Rural: Fringe,No,,,(937) 769-1800

American Medical Institute Inc.,Texas,77099,6902 Cook Rd, Houston,amiinc.net/online-cna.html,"< 2-year, Private not-for-profit",Less than one year certificate,City: Large,No,25 (all undergraduate),2 to 1,(713) 772-5300

American Conservatory Theater,California,94102,415 Geary Street, San Francisco,www.act-sf.org/,"4-year, Private not-for-profit",Less than one year certificateTwo but less than 4 years certificateMaster's degree,City: Large,No,30 (7 undergraduate),6 to 1,(415) 834-3200 x2400

AmeriTech College-Draper,Utah,84020-6545,12257 South Business Park Drive-Ste 100, Draper,www.ameritech.edu/,"4-year, primarily associate's, Private for-profit",Associate's degreeBachelor's degreeMaster's degree,Suburb: Large,No,"1,429 (1,309 undergraduate)",13 to 1,(801) 816-1444

Antioch University-PhD Program in Leadership and Change,Ohio,45387,900 Dayton Street, Yellow Springs,www.antioch.edu/gslc/,"4-year, Private not-for-profit",Master's degreeDoctor's degree - research/scholarship,Rural: Fringe,No,157 (0 undergraduate),,(937) 769-1360

American Institute-Somerset,New Jersey,08873-1100,80 Cottontail Lane, Somerset,www.americaninstitute.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,390 (all undergraduate),19 to 1,(732) 201-8335

Anna Maria College,Massachusetts,01612-1198,50 Sunset Lane, Paxton,www.annamaria.edu/,"4-year, Private not-for-profit",Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificate,Rural: Fringe,Yes,"1,492 (1,126 undergraduate)",12 to 1,(508) 849-3300

American Musical and Dramatic Academy,New York,10023,211 West 61st Street, New York,www.amda.edu/,"4-year, primarily associate's, Private not-for-profit",Associate's degreeTwo but less than 4 years certificateBachelor's degreeMaster's degree,City: Large,Yes,"1,399 (1,395 undergraduate)",5 to 1,(212) 787-5300 x3331

Antioch University-Seattle,Washington,98121-1814,2326 6th Ave, Seattle,www.antiochseattle.edu/,"4-year, Private not-for-profit",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,City: Large,No,735 (99 undergraduate),3 to 1,(206) 441-5352

Amherst College,Massachusetts,01002-5000,Boltwood Avenue, Amherst,www.amherst.edu/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Large,Yes,"1,745 (all undergraduate)",7 to 1,(413) 542-2000

AOMA Graduate School of Integrative Medicine,Texas,78745,4701 Westgate Blvd, Austin,aoma.edu/,"4-year, Private for-profit",Master's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Large,No,135 (0 undergraduate),,(512) 454-1188

Annenberg School of Nursing,California,91335-5426,19300 Sherman Way, Reseda,www.asn.edu/,"< 2-year, Private not-for-profit",One but less than two years certificate,City: Large,No,24 (all undergraduate),12 to 1,(818) 757-4431

American National University-Pikeville,Kentucky,41501-1520,50 National College Boulevard, Pikeville,www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,Rural: Fringe,No,210 (all undergraduate),19 to 1,(859) 253-0621

Anabaptist Mennonite Biblical Seminary,Indiana,46517-1999,3003 Benham Ave, Elkhart,www.ambs.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificateMaster's degree,City: Small,Yes,107 (0 undergraduate),,(574) 295-3726

Arcadia University,Pennsylvania,19038-3295,450 S Easton Rd, Glenside,www.arcadia.edu/,"4-year, Private not-for-profit",Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Large,Yes,"3,300 (2,014 undergraduate)",11 to 1,(215) 572-2900

Apex Academy Hair Skin Nails School of Cosmetology,Ohio,44906-1793,1788 West Fourth Street, Ontario,www.apexacademy2013.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Small,No,35 (all undergraduate),6 to 1,(419) 709-8512

Anoka-Ramsey Community College,Minnesota,55433-3470,11200 Mississippi Blvd NW, Coon Rapids,www.anokaramsey.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Large,No,"8,482 (all undergraduate)",27 to 1,(763) 433-1100

Arizona School of Integrative Studies,Arizona,85705,639 N 6th ave, Tucson,asismassage.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,240 (all undergraduate),10 to 1,(602) 833-6500

Arizona Academy of Beauty-East,Arizona,85712,5631 E Speedway Blvd, Tucson,www.arizonaacademy.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,52 (all undergraduate),20 to 1,(520) 885-4120

Apex Technical School,New York,11101,24-02 Queens Plaza South, Long Island City,www.apexschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,"1,140 (all undergraduate)",18 to 1,(212) 645-3300

Arizona State University - Lake Havasu,Arizona,86403-6877,100 University Way, Lake Havasu City,www.asu.edu/,"4-year, Public",One but less than two years certificateBachelor's degree,City: Small,Yes,,,(855) 278-5080

Arizona Western College,Arizona,85365-8834,2020 S. Avenue 8E, Yuma,www.azwestern.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Small,Yes,"6,487 (all undergraduate)",17 to 1,(928) 317-6000

Arkansas Welding Academy,Arkansas,72076,1920 North Redmond Road, Jacksonville,www.arkansasweldingacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,28 (all undergraduate),8 to 1,(501) 982-9353

Arizona College of Nursing-Fort Lauderdale,Florida,33334-3637,600 Corporate Drive Suite 200, Fort Lauderdale,www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Midsize,No,124 (all undergraduate),20 to 1,(855) 706-8382

Appalachian Beauty School,Kentucky,41514,25429 US HWY 119N, Belfry,appalachianbeautyschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,54 (all undergraduate),20 to 1,(606) 519-3610

Arizona State University - Pinal,Arizona,85122,540 N Camino Mercado, Casa Grande,www.asu.edu/,"4-year, Public",Bachelor's degree,Rural: Fringe,,,,(855) 278-5080

Arkansas Beauty College,Arkansas,72801,109 N Commerce St, Russellville,www.arkansasbeautycollege.us/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,38 (all undergraduate),7 to 1,(479) 968-3075

ASA College,New York,11201-9805,151 Lawrence Street, Brooklyn,www.asa.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Large,Yes,"2,965 (all undergraduate)",11 to 1,(718) 522-9073

Arlington Career Institute,Texas,75050-2636,901 Ave K, Grand Prairie,www.arlingtoncareerinstitute.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,344 (all undergraduate),28 to 1,(972) 647-1607 x223

Arizona College of Nursing-Phoenix,Arizona,85053-4058,16404 North Black Canyon Highway, Phoenix,www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,85 (all undergraduate),20 to 1,(855) 706-8382

Arizona State University - Tucson,Arizona,85745-4284,340 North Commerce Park Loop, Tucson,www.asu.edu/,"4-year, Public",Bachelor's degreeMaster's degree,City: Large,,,,(855) 278-5080

Appalachian College of Pharmacy,Virginia,24631,1060 Dragon Road, Oakwood,www.acp.edu/,"4-year, Private not-for-profit",Doctor's degree - professional practice,Rural: Remote,No,180 (0 undergraduate),,(276) 498-4190 x5230

Arkansas College of Barbering and Hair Design,Arkansas,72205-4949,9100 Rodney Parham  Suite 101, Little Rock,www.acbhd.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,,,(501) 891-6283

Asbury University,Kentucky,40390-1198,1 Macklem Dr, Wilmore,www.asbury.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degree,Town: Fringe,Yes,"1,741 (1,492 undergraduate)",12 to 1,(859) 858-3511

Arizona College of Nursing-Tempe,,,,,www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Midsize,No,931 (all undergraduate),20 to 1,(855) 706-8382

Arnot Ogden Medical Center,New York,14905-1676,600 Roe Avenue, Elmira,www.arnothealth.org/,"2-year, Private not-for-profit",One but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,City: Small,No,38 (all undergraduate),4 to 1,(607) 737-4153

Arizona State University - Yavapai,Arizona,86314-2252,6955 Panther Path, Prescott Valley,www.asu.edu/,"4-year, Public",Bachelor's degree,City: Small,,,,(855) 278-5080

Appalachian State University,North Carolina,28608,287 Rivers St, Boone,www.appstate.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Town: Distant,Yes,"20,023 (18,061 undergraduate)",16 to 1,(828) 262-2000

Arkansas Colleges of Health Education,Arkansas,72916-0366,7000 Chad Colley Blvd., Fort Smith,acheedu.org/,"4-year, Private not-for-profit",Master's degreeDoctor's degree - professional practice,Rural: Fringe,Yes,678 (0 undergraduate),,(479) 308-2200

Arizona College-Dallas,Texas,75243-1200,8330 LBJ Freeway Suite 100, Dallas,www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,177 (all undergraduate),20 to 1,(855) 706-8382

Art Academy of Cincinnati,Ohio,45202-1706,1212 Jackson Street, Cincinnati,www.artacademy.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degree,City: Large,Yes,235 (227 undergraduate),9 to 1,(513) 562-6262

Asher Institute of Hampton,Virginia,23666,4107 West Mercury Blvd, Hampton,www.aiofhampton.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,8 (all undergraduate),17 to 1,(757) 723-4809

Arizona State University Campus Immersion,Arizona,85287,University Drive and Mill Avenue, Tempe,www.asu.edu/,"4-year, Public",Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"74,795 (63,124 undergraduate)",18 to 1,(855) 278-5080

Aquinas College,Michigan,49506-1801,1700 Fulton St. E, Grand Rapids,www.aquinas.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degree,City: Midsize,Yes,"1,517 (1,372 undergraduate)",11 to 1,(616) 632-8900

Arizona College-Mesa,Arizona,85201,163 N Dobson Rd, Mesa,www.arizonacollege.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Large,No,355 (all undergraduate),20 to 1,(855) 706-8382

Arkansas State University,Arkansas,72401,2105 E. Aggie Road, Jonesboro,www.astate.edu/,"4-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"13,106 (8,486 undergraduate)",14 to 1,(870) 972-2100

Ashford University,,,,,www.ashford.edu/,"4-year, Private for-profit",Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,City: Large,No,"31,115 (25,425 undergraduate)",15 to 1,(866) 711-1700

Arthur's Beauty College,Arkansas,72032,2320 Washington Avenue, Conway,www.arthursbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Small,No,77 (all undergraduate),19 to 1,(501) 329-7770

Arizona State University-Downtown Phoenix,Arizona,85004,411 N Central Ave, Phoenix,www.asu.edu/,"4-year, Public",Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Large,Yes,,,(855) 278-5080

Arapahoe Community College,Colorado,80160-9002,5900 S. Santa Fe Dr., Littleton,www.arapahoe.edu/,"4-year, primarily associate's, Public",One but less than two years certificateAssociate's degreeBachelor's degree,Suburb: Large,No,"12,001 (all undergraduate)",23 to 1,(303) 797-4222

Arizona School of Acupuncture and Oriental Medicine,Arizona,85716-1518,2856 E Fort Lowell Rd, Tucson,www.asaom.edu/,"4-year, Private for-profit",Master's degree,City: Large,No,13 (0 undergraduate),,(520) 795-0787 x101

Arkansas State University Three Rivers,Arkansas,72104-0816,One College Circle, Malvern,www.asutr.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Town: Fringe,No,"1,243 (all undergraduate)",14 to 1,(501) 337-5000 x1100

Arizona State University-West,Arizona,85306,4701 W Thunderbird Road, Glendale,www.asu.edu/,"4-year, Public",Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,City: Large,Yes,,,(855) 278-5080

Arthur's Beauty College,Arkansas,72076,2600 John Harden Drive, Jacksonville,arthursbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,57 (all undergraduate),19 to 1,(501) 982-8987

Ashland County-West Holmes Career Center,Ohio,44805-9377,1783 State Route 60, Ashland,www.acwhcc.org/,"< 2-year, Public",Less than one year certificateOne but less than two years certificate,Rural: Distant,No,37 (all undergraduate),4 to 1,(419) 289-3313

Arkansas State University-Mountain Home,Arkansas,72653,1600 South College Street, Mountain Home,www.asumh.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"1,271 (all undergraduate)",14 to 1,(870) 508-6100

Artistic Academy of Hair Design,,,,,www.artisticacademy.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,137 (all undergraduate),22 to 1,(973) 656-1401 x0

Ashtabula County Technical and Career Campus,Ohio,44047,1565 State Route 167, Jefferson,www.atech.edu/,"< 2-year, Public",Less than one year certificateOne but less than two years certificate,Rural: Fringe,No,129 (all undergraduate),8 to 1,(440) 576-6015 x1007

Aspen Beauty Academy of Laurel,Maryland,20724,3535 Fort Meade Road, Laurel,www.aspenlaurel.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,80 (all undergraduate),18 to 1,(301) 490-8580

Atelier Esthetique Institute of Esthetics,New York,10001,226 East 26th Street 7th Floor, New York,www.aeinstitute.net/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,250 (all undergraduate),41 to 1View noteInterpret data with caution. Student-to-faculty ratio is higher than actual.  Students are not all enrolled at the same time.  Maximum class size is 20 for practical and 30 for theory offered over 4 different schedules.,(212) 725-6130 x56130

Atlantic Technical College,Florida,33063-3902,4700 Coconut Creek Parkway, Coconut Creek,www.atlantictechnicalcollege.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,"2,543 (all undergraduate)",12 to 1,(754) 321-5100

Arkansas Tech University,,,,,www.atu.edu/,"4-year, primarily associate's, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Town: Remote,Yes,"10,829 (10,110 undergraduate)",17 to 1,(844) 804-2628

Asian-American International Beauty College,California,92683,7871 Westminster Blvd, Westminster,www.aabeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,420 (all undergraduate),28 to 1,(714) 891-0508

Artistic Nails and Beauty Academy-Tampa,Florida,33605,4951-A Adamo Drive Ste 120, Tampa,www.artistic.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,227 (all undergraduate),14 to 1,(813) 654-4529

ASPIRA City College,Pennsylvania,19140-2302,4322 N. 5th Street, Philadelphia,www.aspiracitycollege.edu/,"2-year, Private not-for-profit",One but less than two years certificateAssociate's degree,City: Large,No,5 (all undergraduate),2 to 1,(215) 455-2300 x7009

Atlantis University,Florida,33132,1442 Biscayne Boulevard, Miami,www.atlantisuniversity.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,City: Large,No,550 (121 undergraduate),25 to 1,(305) 377-8817 x1005

Athena Career Academy,Ohio,43615,5203 Airport Hwy, Toledo,www.athenacareers.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Large,No,338 (all undergraduate),41 to 1,(419) 472-1150

Asnuntuck Community College,Connecticut,06082,170 Elm St, Enfield,www.asnuntuck.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"1,304 (all undergraduate)",12 to 1,(860) 253-3000

Associated Barber College of San Diego,California,92101-4210,1333 5th Avenue, San Diego,sandiegobarbercollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,81 (all undergraduate),15 to 1,(619) 234-7703 x104

Athens State University,Alabama,35611,300 N Beaty St, Athens,www.athens.edu/,"4-year, Public",Less than one year certificateBachelor's degreeMaster's degree,Town: Fringe,No,"2,867 (2,688 undergraduate)",15 to 1,(256) 233-8100

Automotive Training Center-Warminster,Pennsylvania,18974,900 Johnsville Blvd, Warminster,www.autotraining.edu/,"2-year, Private for-profit",One but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,272 (all undergraduate),20 to 1,(215) 259-1900

Aurora University,Illinois,60506-4892,347 S Gladstone Ave, Aurora,aurora.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Suburb: Large,Yes,"6,265 (4,158 undergraduate)",20 to 1,(630) 892-6431

Associated Technical College-Los Angeles,California,90017-1604,1670 Wilshire Blvd, Los Angeles,www.atcla.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,92 (all undergraduate),19 to 1,(213) 413-6808

Auburn University,,,,,www.auburn.edu/,"4-year, Public",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practiceDoctor's degree - other,City: Small,Yes,"30,737 (24,505 undergraduate)",20 to 1,(334) 844-4000

ATI College-Norwalk,California,90603-0000,15141 Whittier Blvd Suite 420, Whitter,www.ati.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificateTwo but less than 4 years certificateBachelor's degree,Suburb: Large,No,83 (all undergraduate),20 to 1,(562) 864-0506

Avalon School of Cosmetology,Minnesota,56187,1428 N McMillan St, Worthington,www.avaloncosmetologyschool.com/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,Town: Remote,No,19 (all undergraduate),10 to 1,(507) 372-2344

Aveda Institute Portland-Vancouver Campus,Washington,98661-7264,6615 North East 4th Plain Boulevard, Vancouver,avedapdx.com/about-our-school/locations/vancouver,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,City: Midsize,No,156 (all undergraduate),16 to 1,(360) 326-0567 x382

Austin College,Texas,75090-4400,900 N Grand Ave, Sherman,www.austincollege.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Small,Yes,"1,302 (1,285 undergraduate)",12 to 1,(903) 813-2000

Assumption College for Sisters,New Jersey,07834,200 A Morris Avenue, Denville,www.acs350.org/,"2-year, Private not-for-profit",One but less than two years certificateAssociate's degree,Suburb: Large,Yes,45 (all undergraduate),5 to 1,(973) 957-0188 x101

Atlanta Metropolitan State College,,,,,www.atlm.edu/,"4-year, primarily associate's, Public",Less than one year certificateAssociate's degreeBachelor's degree,City: Large,No,"1,704 (all undergraduate)",20 to 1,(404) 756-4000

Augsburg University,Minnesota,55454,2211 Riverside Ave, Minneapolis,www.augsburg.edu/,"4-year, Private not-for-profit",One but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,City: Large,Yes,"3,346 (2,512 undergraduate)",13 to 1,(612) 330-1000

Avalon School of Cosmetology-Layton,Utah,84041,1992 W Antelope Drive, Layton,avalon.edu/locations/layton-ut/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,206 (all undergraduate),20 to 1,(801) 614-5040

Austin Graduate School of Theology,Texas,78752,7640 Guadalupe St, Austin,www.austingrad.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Large,No,21 (13 undergraduate),3 to 1,(512) 476-2772

Aveda Institute-Boise,Idaho,83704-4406,10222 W Fairview Ave, Boise,www.avedaidaho.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,49 (all undergraduate),7 to 1,(208) 345-6164

ATA Career Education,,,,,www.atafl.edu/,"2-year, Private for-profit",One but less than two years certificateAssociate's degree,Suburb: Midsize,No,230 (all undergraduate),15 to 1,(352) 684-3007

Augusta Technical College,Georgia,30906,3200 Augusta Tech Drive, Augusta,www.augustatech.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,City: Midsize,No,"3,863 (all undergraduate)",15 to 1,(706) 771-4000

Atlanta Technical College,Georgia,30310-4446,1560 Metropolitan Pkwy SW, Atlanta,www.atlantatech.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,City: Large,No,"3,030 (all undergraduate)",12 to 1,(404) 225-4400

Avalon School of Cosmetology-Phoenix,,,,,avalon.edu/locations/phoenix-az/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,437 (all undergraduate),21 to 1,(602) 443-0076

Austin Peay State University,Tennessee,37044,601 College St, Clarksville,www.apsu.edu/,"4-year, Public",Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,City: Midsize,Yes,"10,272 (9,087 undergraduate)",16 to 1,(931) 221-7011

Aveda Institute-Chicago,Illinois,60657,2828 N Clark St, Chicago,www.douglasj.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,114 (all undergraduate),11 to 1,(773) 883-1560

ATA College,Kentucky,40223,10200 Linn Station Rd Ste 125, Louisville,www.ata.edu/,"2-year, Private for-profit",One but less than two years certificateAssociate's degree,Suburb: Large,No,298 (all undergraduate),15 to 1,(502) 371-8330

Atlantic Beauty & Spa Academy LLC,New Jersey,08234,3003 English Creek Avenue, Egg Harbor Township,www.shorebeautyschool.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Midsize,No,137 (all undergraduate),18 to 1,(609) 645-3635

Ave Maria University,Florida,34142-9505,5050 Ave Maria Blvd, Ave Maria,www.avemaria.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degreeDoctor's degree,Rural: Distant,Yes,"1,108 (1,071 undergraduate)",13 to 1,(239) 280-2500

Austin Presbyterian Theological Seminary- YMCA Outdoor Center,Tennessee,37013-2791,3088 Smith Springs Road, Antioch,www.austinseminary.edu/,"4-year, Private not-for-profit",Master's degree,City: Large,,,,(512) 404-4800

Augustana College,Illinois,61201-2296,639 38th St, Rock Island,www.augustana.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Small,Yes,"2,389 (2,377 undergraduate)",11 to 1,(309) 794-7000

Aveda Institute-Denver,Colorado,80202,700 16th Street, Denver,www.avedainstitutedenver.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,403 (all undergraduate),16 to 1,(303) 567-7500 x1022

